px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.91531	-11.0391	-2.70112	1.73535	-0.26173	9.83614	-11.041	9.85	-11.05	0	-2.73073	0
9.93325	-11.1724	-2.70235	1.72062	-0.262955	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0744863
9.92448	-11.3218	-2.71762	1.68659	-0.282327	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0
9.93922	-11.4616	-2.72923	1.67251	-0.281309	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.0980925
9.92188	-11.6116	-2.7441	1.63675	-0.301419	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0
9.86486	-11.7201	-2.56567	1.55482	-0.392994	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	15.5335
9.83571	-11.8541	-2.57218	1.51785	-0.409054	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0
9.81888	-11.9797	-2.56144	1.49024	-0.417607	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.177936
9.76945	-12.1241	-2.58633	1.4429	-0.441852	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0
9.7147	-12.2405	-2.51015	1.37702	-0.50168	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	5.10047
9.65785	-12.3681	-2.52112	1.33133	-0.520542	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0
9.55967	-12.4613	-2.40642	1.22771	-0.624317	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	12.2883
9.48337	-12.5778	-2.42075	1.17409	-0.644569	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0
9.41394	-12.6946	-2.4046	1.11984	-0.669229	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.568125
9.32644	-12.8097	-2.41214	1.06479	-0.685723	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0
9.17388	-12.881	-2.3244	0.907159	-0.851103	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	24.9357
9.04323	-12.9798	-2.36963	0.828959	-0.881892	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	0
8.90218	-13.0562	-2.36563	0.717225	-0.96391	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	5.0316
8.77532	-13.128	-2.37199	0.645398	-0.980679	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0
8.62447	-13.18	-2.39812	0.525896	-1.07343	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	6.22049
8.4874	-13.2295	-2.41929	0.451903	-1.09042	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0
8.29541	-13.257	-2.4913	0.301335	-1.20998	8.22926	-13.1698	8.2	-13.15	-2.72741	0	10.4746
8.14102	-13.2734	-2.49592	0.215343	-1.22708	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0
7.97561	-13.2793	-2.53767	0.111254	-1.27312	7.82914	-13.0525	7.9	-13.15	-2.72986	0	2.18298
7.82578	-13.2706	-2.53514	0.0267652	-1.28629	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0
